,sex,whole_weight,rings
0,M,0.514,15
1,M,0.2255,7
2,F,0.677,9
3,M,0.516,10
4,I,0.205,7
5,I,0.3515,8
6,F,0.7775,20
7,F,0.768,16
8,M,0.5095,9
9,F,0.8945,19
10,F,0.6065,14
11,M,0.406,10
12,M,0.5415,11
13,F,0.6845,10
14,F,0.4755,10
15,M,0.6645,12
16,I,0.2905,7
17,F,0.451,10
18,M,0.2555,7
19,M,0.381,9
20,M,0.2455,11
21,I,0.2255,10
22,F,0.9395,12
23,F,0.7635,9
24,F,1.1615,10
25,F,0.9285,11
26,F,0.9955,11
27,M,0.931,12
28,M,0.9365,15
29,M,0.8635,11
30,M,0.9975,10
31,F,1.639,15
32,M,1.338,18
33,F,1.798,19
34,F,1.7095,13
35,M,0.4795,8
36,F,1.217,16
37,F,0.5225,8
38,F,0.883,11
39,M,0.3275,9
40,F,0.425,9
41,F,0.8515,14
42,I,0.07,5
43,I,0.042,5
44,I,0.042,4
45,I,0.203,7
46,M,0.5795,9
47,F,0.4605,7
48,I,0.161,6
49,F,0.8355,9
50,I,0.595,8
51,M,0.303,7
52,M,0.5415,10
53,F,0.4775,10
54,M,0.385,7
55,F,0.6615,8
56,M,0.4425,8
57,M,0.5895,8
58,I,0.086,4
59,F,0.583,7
60,M,0.4115,7
61,M,0.625,9
62,F,0.6965,10
63,M,0.3785,7
64,M,0.58,8
65,M,0.48,8
66,F,0.915,12
67,F,1.285,13
68,F,0.5305,10
69,I,0.151,6
70,M,0.7665,13
71,F,0.353,8
72,F,1.247,20
73,M,1.185,11
74,F,1.098,13
75,F,1.0075,15
76,M,0.944,9
77,F,0.922,10
78,F,0.788,11
79,F,1.1025,14
80,F,0.941,9
81,M,1.615,12
82,F,0.9885,16
83,M,1.3175,21
84,M,1.013,14
85,F,1.295,12
86,M,1.195,13
87,M,0.8645,10
88,F,0.517,9
89,F,0.9775,12
90,M,0.8115,15
91,M,0.755,12
92,M,1.115,13
93,F,1.262,10
94,M,1.494,15
95,M,1.606,14
96,M,0.725,9
97,M,0.523,8
98,M,0.5225,7
99,F,0.5785,10
100,I,0.2315,7
101,M,0.843,15
102,M,0.883,15
103,M,0.724,10
104,M,1.1735,12
105,F,0.727,12
106,F,0.802,11
107,F,0.6675,10
108,F,0.6335,9
109,F,0.3635,9
110,M,0.5415,9
111,M,0.431,9
112,I,0.3325,9
113,M,0.393,9
114,F,0.6935,11
115,F,0.5915,11
116,F,0.6125,11
117,M,0.402,10
118,F,0.8825,9
119,M,0.2605,8
120,F,0.4205,9
121,I,0.2535,7
122,F,0.766,14
123,M,0.214,6
124,I,0.1755,6
125,I,0.073,5
126,I,0.238,6
127,I,0.2505,8
128,M,1.7255,19
129,M,1.959,18
130,M,1.262,17
131,F,0.4035,9
132,F,0.1915,7
133,I,0.211,7
134,I,0.0975,7
135,F,0.406,8
136,F,0.156,7
137,M,0.2005,9
138,F,0.3555,9
139,M,0.253,9
140,F,0.826,10
141,F,0.741,10
142,M,1.3445,16
143,M,0.797,11
144,M,0.5175,10
145,F,0.549,10
146,M,0.515,10
147,I,0.127,9
148,I,0.0315,5
149,I,0.03,4
150,M,1.053,15
151,F,1.1185,9
152,F,1.3715,10
153,F,1.0565,10
154,F,0.9885,12
155,M,0.722,10
156,F,0.994,13
157,M,1.514,16
158,F,0.9075,13
159,F,1.124,13
160,M,1.056,13
161,F,1.222,13
162,M,1.2445,12
163,F,2.141,18
164,F,1.752,16
165,M,2.55,14
166,F,2.124,20
167,F,1.842,20
168,M,1.981,14
169,F,1.6185,12
170,M,1.9565,14
171,F,0.775,7
172,M,1.065,8
173,F,0.776,8
174,I,0.048,5
175,I,0.1785,7
176,I,0.125,5
177,I,0.1435,8
178,I,0.0465,4
179,M,0.97,11
180,M,0.9395,14
181,M,1.368,21
182,F,1.0235,10
183,F,1.0165,10
184,F,1.5675,12
185,M,1.218,13
186,F,1.0525,12
187,F,1.383,10
188,F,1.199,11
189,F,0.9325,9
190,M,1.1595,13
191,M,1.0225,12
192,M,0.927,14
193,I,0.22,8
194,F,0.8145,10
195,M,0.772,12
196,F,0.644,11
197,M,1.3035,16
198,M,0.922,15
199,M,0.922,10
200,F,0.4165,9
201,M,0.825,13
202,F,0.63,12
203,F,0.8155,13
204,M,0.369,8
205,F,0.482,9
206,I,0.315,9
207,I,0.3795,8
208,F,0.8325,13
209,I,0.2655,7
210,F,0.6345,10
211,M,0.181,7
212,F,0.38,12
213,M,0.6155,9
214,F,0.66,14
215,M,0.8025,10
216,M,0.46,8
217,I,0.324,7
218,M,0.501,10
219,F,0.32,8
220,F,0.455,9
221,F,0.5175,11
222,F,0.5755,9
223,F,0.485,11
224,I,0.3265,10
225,F,0.45,9
226,F,0.3055,7
227,I,0.205,7
228,F,1.1015,11
229,F,0.783,15
230,M,0.836,13
231,M,0.9025,14
232,M,1.4455,22
233,I,0.1155,7
234,I,0.435,12
235,I,0.124,9
236,I,0.002,1
237,I,0.013,3
238,I,0.008,3
239,I,0.021,5
240,M,0.9425,17
241,I,0.1,5
242,I,0.0645,5
243,I,0.1275,8
244,I,0.1655,8
245,I,0.174,10
246,I,0.1585,13
247,I,0.1975,9
248,I,0.156,7
249,I,0.2135,7
250,I,0.1715,7
251,M,1.1235,13
252,F,1.0605,12
253,F,1.094,15
254,M,1.2415,15
255,M,1.011,15
256,M,1.07,19
257,M,0.8975,10
258,F,1.415,15
259,F,1.1015,13
260,F,0.928,11
261,F,0.865,12
262,M,0.8945,11
263,I,0.095,4
264,M,0.1205,6
265,F,0.639,11
266,M,0.895,14
267,M,0.2925,8
268,M,0.6355,9
269,F,0.4995,13
270,F,1.779,22
271,M,1.187,16
272,M,1.219,14
273,M,1.525,15
274,M,1.259,13
275,M,1.844,22
276,F,1.3485,12
277,M,1.642,18
278,M,1.484,20
279,F,0.712,11
280,F,0.8415,15
281,I,0.2415,7
282,F,0.4495,9
283,M,0.6295,14
284,M,0.9565,14
285,F,0.879,10
286,M,0.699,10
287,F,0.6445,17
288,M,0.4775,9
289,F,0.8105,10
290,M,0.996,17
291,F,1.2765,12
292,M,1.116,15
293,F,1.013,19
294,M,1.0575,26
295,I,0.128,6
296,I,0.1105,6
297,I,0.1065,4
298,M,0.549,11
299,M,0.234,9
300,F,0.3485,9
301,F,0.892,13
302,M,0.252,8
303,M,0.217,6
304,F,0.472,10
305,I,0.037,4
306,I,0.0215,3
307,M,1.5415,13
308,M,0.7605,14
309,M,0.9055,10
310,F,1.2435,21
311,M,0.971,14
312,M,1.3305,19
313,F,1.2255,23
314,M,1.3,23
315,I,0.4585,8
316,F,1.242,14
317,M,0.3675,10
318,F,0.8365,18
319,I,0.172,6
320,I,0.0965,5
321,I,0.038,4
322,M,0.2845,11
323,I,0.1055,5
324,M,0.222,7
325,I,0.251,7
326,I,0.1755,7
327,M,0.6435,12
328,M,0.241,8
329,I,0.2255,8
330,M,0.5955,12
331,F,0.3185,8
332,I,0.121,5
333,I,0.0705,5
334,F,1.974,16
335,M,1.3415,11
336,M,1.0875,14
337,M,1.283,16
338,M,1.325,13
339,F,1.0035,15
340,M,1.165,14
341,F,1.3475,14
342,M,1.274,12
343,F,0.568,12
344,F,0.746,8
345,M,0.707,13
346,F,0.756,9
347,I,0.2,6
348,I,0.2715,8
349,M,1.2,14
350,F,1.153,8
351,F,0.8685,22
352,M,0.9535,12
353,M,0.93,9
354,M,1.275,16
355,M,2.13,20
356,M,1.587,13
357,F,1.8085,18
358,M,2.499,17
359,F,1.768,16
360,M,1.227,18
361,F,0.997,12
362,F,1.4225,20
363,F,1.029,16
364,F,1.186,12
365,M,1.016,19
366,M,0.887,11
367,F,1.0735,10
368,M,1.13,12
369,F,1.719,17
370,F,1.566,16
371,F,1.7605,16
372,F,1.787,19
373,F,1.31,14
374,M,1.343,13
375,F,1.7345,20
376,M,1.1775,11
377,F,1.077,10
378,M,0.995,15
379,F,1.1085,12
380,M,1.1405,15
381,M,0.791,10
382,M,0.663,10
383,M,0.5565,12
384,M,0.8445,10
385,F,0.4925,9
386,M,0.7385,12
387,M,0.482,10
388,M,0.609,14
389,I,0.471,9
390,I,0.3215,10
391,M,0.593,10
392,F,0.5615,10
393,I,0.25,9
394,I,0.1995,6
395,I,0.302,11
396,F,0.7155,10
397,M,0.5865,8
398,M,0.6765,12
399,M,0.987,11
400,F,0.5885,9
401,M,0.7225,9
402,F,0.4335,7
403,F,0.6935,10
404,I,0.365,7
405,F,0.8425,12
406,M,0.479,8
407,M,0.911,16
408,M,0.915,11
409,M,0.827,8
410,M,1.1045,15
411,M,0.945,14
412,F,0.9935,11
413,M,0.8565,12
414,F,1.2385,14
415,F,1.0325,15
416,F,1.3135,20
417,M,1.352,20
418,F,1.005,16
419,M,0.625,13
420,F,1.5015,14
421,I,0.529,11
422,F,0.5785,13
423,I,0.101,8
424,I,0.092,6
425,M,1.068,13
426,F,1.0915,18
427,M,1.015,19
428,F,0.943,21
429,F,1.0475,18
430,F,0.9555,18
431,M,1.036,20
432,M,0.9065,18
433,M,0.7505,22
434,I,0.366,13
435,M,0.662,11
436,I,0.217,7
437,I,0.252,14
438,M,0.3055,9
439,M,0.6885,13
440,I,0.2335,10
441,I,0.192,8
442,F,0.85,19
443,I,0.2715,10
444,F,0.3635,10
445,F,0.714,9
446,M,0.9815,13
447,M,0.9265,16
448,M,1.098,12
449,F,0.8205,18
450,M,1.891,16
451,F,1.41,16
452,F,1.4385,17
453,F,0.9245,11
454,F,1.2915,14
455,M,0.8375,11
456,F,1.221,15
457,I,0.199,9
458,I,0.2965,10
459,F,0.7085,11
460,M,0.2665,11
461,F,0.9915,12
462,I,0.0715,6
463,I,0.0545,5
464,I,0.0735,6
465,I,0.0235,5
466,F,1.3905,12
467,M,1.388,13
468,F,1.7445,17
469,M,1.4385,21
470,F,0.7835,9
471,F,0.646,10
472,I,0.3575,9
473,F,0.627,11
474,F,0.7715,10
475,M,0.7395,17
476,F,0.421,9
477,M,1.347,17
478,M,1.756,21
479,M,1.32,16
480,F,1.8075,29
481,M,0.9325,17
482,M,0.849,15
483,F,0.9955,19
484,M,1.0115,12
485,F,0.908,13
486,M,0.92,11
487,F,1.2415,15
488,M,0.8075,11
489,F,1.0595,14
490,M,1.073,14
491,M,0.921,13
492,F,1.2895,11
493,M,1.2635,15
494,M,1.369,17
495,F,0.953,15
496,F,1.248,12
497,F,1.0105,19
498,F,1.0385,11
499,M,0.874,10
500,F,0.854,12
501,F,1.1835,23
502,F,1.115,15
503,F,1.129,13
504,F,1.1745,17
505,M,1.105,15
506,M,0.8395,12
507,M,1.055,15
508,M,0.889,11
509,I,0.8735,16
510,I,1.1095,10
511,F,0.5185,10
512,F,0.6725,10
513,M,0.146,6
514,F,0.08,5
515,M,0.1,6
516,M,0.2795,9
517,M,0.0915,5
518,M,0.147,4
519,F,0.203,6
520,M,0.0385,3
521,F,0.1885,5
522,I,0.218,9
523,M,0.035,5
524,M,0.0545,4
525,M,0.024,4
526,M,0.0155,3
527,F,0.733,14
528,F,0.9715,12
529,M,0.24,9
530,I,0.752,20
531,F,0.458,13
532,I,0.4705,12
533,F,0.38,9
534,I,0.4985,10
535,I,0.454,11
536,I,0.5775,11
537,M,0.1165,7
538,M,0.094,5
539,F,0.2705,10
540,F,0.604,15
541,F,0.415,11
542,M,0.2885,15
543,M,0.3615,8
544,F,0.257,10
545,M,0.1555,11
546,M,0.08,8
547,M,0.0425,7
548,F,0.795,12
549,I,0.875,11
550,I,1.1625,17
551,I,0.9885,13
552,I,0.8,12
553,I,0.514,13
554,I,0.591,9
555,I,0.6265,10
556,I,0.795,14
557,F,1.1905,12
558,F,1.326,13
559,I,0.66,13
560,F,0.364,8
561,I,0.659,13
562,F,0.452,11
563,F,0.7335,11
564,F,0.5465,14
565,M,0.179,10
566,I,0.581,12
567,I,0.406,12
568,M,0.1085,7
569,F,0.387,11
570,I,0.474,16
571,I,0.443,14
572,F,1.066,20
573,F,0.9535,17
574,I,0.9665,10
575,F,1.133,11
576,I,0.9175,10
577,F,0.982,10
578,I,0.8865,11
579,F,1.3675,17
580,F,1.233,11
581,I,0.806,14
582,F,1.4635,19
583,I,0.4935,13
584,F,0.363,11
585,I,0.6655,11
586,I,0.6805,10
587,F,0.8285,13
588,M,0.4625,14
589,F,0.3095,13
590,I,0.745,13
591,F,0.25,9
592,I,0.874,18
593,F,1.514,19
594,M,0.6995,12
595,I,0.8525,13
596,F,0.7135,9
597,I,0.939,13
598,I,1.054,12
599,F,0.981,16
600,I,0.926,17
601,F,0.286,10
602,F,0.265,13
603,I,0.4885,11
604,I,0.5555,12
605,I,0.425,13
606,M,0.195,9
607,I,0.458,10
608,M,0.228,10
609,M,0.1775,12
610,F,0.4085,12
611,M,0.032,4
612,M,0.155,9
613,I,0.4775,18
614,I,0.525,15
615,M,0.3865,13
616,F,0.433,12
617,M,0.17,7
618,M,0.1295,9
619,M,0.0515,7
620,M,0.169,10
621,I,0.673,18
622,F,0.6785,12
623,F,0.498,17
624,I,0.498,15
625,F,0.658,12
626,F,0.322,10
627,F,0.2815,8
628,I,0.944,21
629,M,0.1835,10
630,I,0.49,9
631,F,0.391,7
632,M,0.467,10
633,I,0.5225,9
634,M,0.2105,9
635,M,0.168,8
636,M,0.258,7
637,M,0.1905,6
638,I,0.487,14
639,F,0.5735,13
640,M,0.173,7
641,I,1.1785,13
642,F,0.9,19
643,M,0.1875,7
644,M,0.3715,9
645,I,0.347,11
646,M,0.1145,6
647,M,0.777,9
648,I,0.4885,11
649,F,0.447,9
650,M,0.079,5
651,I,0.1665,6
652,I,0.466,11
653,M,0.1345,7
654,F,0.2305,10
655,M,0.129,7
656,F,0.97,17
657,F,1.14,16
658,I,1.3165,18
659,F,0.9585,11
660,I,1.626,18
661,I,0.781,11
662,F,0.3675,10
663,F,0.281,12
664,I,0.412,19
665,F,0.2245,10
666,M,0.4835,11
667,F,0.605,15
668,M,0.9175,13
669,F,0.5425,13
670,M,0.6175,14
671,F,0.655,17
672,F,0.8115,19
673,M,0.573,21
674,F,0.7865,23
675,F,0.64,22
676,M,0.74,12
677,F,0.5945,11
678,F,0.8165,23
679,F,0.2225,8
680,I,0.2295,7
681,M,0.5725,10
682,F,0.3915,7
683,M,0.8345,16
684,M,0.6515,10
685,M,0.909,15
686,F,0.8045,13
687,F,0.927,16
688,M,0.7305,11
689,M,0.9555,11
690,M,0.636,10
691,I,0.0865,5
692,F,0.3865,11
693,M,0.283,9
694,I,0.019,4
695,I,0.1285,7
696,I,0.0175,4
697,M,0.1165,5
698,F,0.444,13
699,F,0.3515,16
700,M,0.2905,12
701,F,0.536,14
702,F,0.4525,9
703,M,0.316,12
704,M,0.417,9
705,M,0.417,10
706,M,0.203,11
707,F,0.207,10
708,M,0.2765,10
709,I,0.1105,7
710,I,0.176,7
711,M,0.2465,11
712,I,0.1135,7
713,M,0.201,8
714,M,0.1915,9
715,I,0.1035,7
716,I,0.0975,8
717,I,0.0765,6
718,I,0.0265,4
719,I,0.015,2
720,I,0.018,3
721,M,1.0575,13
722,M,1.092,15
723,M,0.99,15
724,M,0.488,11
725,F,0.5005,17
726,M,0.297,10
727,F,0.525,12
728,M,0.77,13
729,F,0.6515,15
730,M,0.8295,11
731,M,0.879,13
732,M,0.823,15
733,M,0.656,13
734,M,0.8665,18
735,M,0.6565,10
736,M,0.669,12
737,F,0.6435,12
738,M,0.862,14
739,M,0.3795,10
740,M,0.835,14
741,F,0.2065,8
742,F,0.7365,14
743,F,0.8175,17
744,M,0.8425,20
745,F,1.001,17
746,F,1.676,17
747,M,0.6595,9
748,M,0.8055,14
749,M,1.5165,15
750,F,0.612,13
751,M,0.547,10
752,F,1.122,13
753,F,1.1365,13
754,M,1.4805,20
755,M,1.5275,13
756,M,1.1375,20
757,F,1.437,15
758,M,1.116,13
759,M,1.0615,15
760,M,1.2565,15
761,F,0.946,16
762,F,0.959,17
763,M,1.613,14
764,F,1.153,14
765,M,0.978,11
766,F,1.1325,13
767,M,0.197,9
768,F,0.785,11
769,F,0.949,17
770,F,0.9805,11
771,I,0.521,8
772,M,0.2685,8
773,M,0.462,9
774,M,0.7605,10
775,M,0.732,11
776,M,0.6775,15
777,M,0.6385,13
778,M,0.5755,15
779,F,0.537,15
780,M,0.93,13
781,M,0.6415,12
782,M,0.8815,10
783,I,0.244,6
784,I,0.0525,5
785,M,1.042,15
786,F,0.5755,9
787,M,0.709,12
788,F,0.644,9
789,F,0.8875,12
790,F,0.8935,10
791,F,0.556,10
792,M,0.51,9
793,M,0.9215,12
794,M,1.0345,12
795,M,0.695,15
796,M,0.7155,11
797,M,0.394,9
798,M,0.745,11
799,F,0.3665,11
800,M,0.495,10
801,M,0.349,10
802,M,0.4405,9
803,I,0.22,7
804,M,0.6615,10
805,M,0.3185,7
806,I,0.1015,6
807,F,0.759,15
808,F,0.4195,10
809,F,0.807,12
810,M,0.875,12
811,F,0.6835,21
812,I,0.067,6
813,I,0.088,5
814,I,0.1715,7
815,I,0.1735,7
816,I,0.183,6
817,I,0.2055,6
818,I,0.18,6
819,I,0.27,7
820,I,0.24,7
821,I,0.2215,6
822,I,0.1375,7
823,I,0.312,6
824,I,0.2895,7
825,I,0.319,7
826,I,0.304,6
827,I,0.306,6
828,I,0.394,6
829,I,0.3735,7
830,M,0.325,6
831,I,0.398,6
832,I,0.501,9
833,I,0.4895,7
834,I,0.378,7
835,I,0.547,8
836,M,0.5805,8
837,I,0.5465,9
838,F,0.6395,8
839,I,0.498,9
840,M,0.609,8
841,F,0.7555,9
842,M,0.5975,9
843,M,0.8275,8
844,M,0.7635,8
845,M,0.891,9
846,F,0.805,11
847,F,0.9185,10
848,F,0.923,8
849,M,1.0145,10
850,F,0.875,10
851,M,0.9685,9
852,M,1.0595,10
853,M,0.952,9
854,M,0.7535,10
855,F,0.958,9
856,M,1.077,9
857,M,1.102,12
858,F,1.11,10
859,F,1.2095,8
860,F,1.1405,6
861,F,1.113,12
862,M,1.3445,11
863,F,1.21,10
864,M,1.29,11
865,F,1.382,10
866,M,1.1035,9
867,F,1.377,12
868,F,1.3435,10
869,M,1.296,9
870,M,1.34,12
871,F,1.3725,11
872,M,1.307,9
873,F,1.2085,11
874,F,1.3825,11
875,M,1.26,14
876,M,1.3555,9
877,F,1.376,10
878,F,1.2945,9
879,F,1.486,8
880,M,1.4715,11
881,M,1.4095,9
882,M,2.0805,17
883,M,1.3905,15
884,M,1.558,10
885,F,1.309,10
886,F,1.8095,12
887,F,1.4785,9
888,F,1.7775,11
889,F,1.6675,11
890,F,1.834,11
891,M,2.8255,17
892,I,0.046,6
893,I,0.0705,5
894,I,0.0665,3
895,I,0.083,6
896,I,0.083,4
897,I,0.092,6
898,I,0.117,4
899,I,0.1625,5
900,I,0.131,4
901,I,0.1385,6
902,I,0.141,5
903,I,0.1485,6
904,I,0.144,8
905,I,0.1575,5
906,I,0.187,6
907,I,0.196,6
908,I,0.1825,7
909,I,0.186,7
910,I,0.1785,5
911,I,0.2225,7
912,I,0.2455,7
913,I,0.249,6
914,I,0.2865,7
915,I,0.215,6
916,I,0.251,6
917,I,0.339,7
918,I,0.3535,7
919,I,0.3335,6
920,I,0.3595,6
921,I,0.376,5
922,I,0.3435,6
923,I,0.382,6
924,I,0.377,6
925,I,0.3645,7
926,I,0.425,7
927,I,0.3995,8
928,I,0.3925,6
929,I,0.4495,6
930,I,0.35,7
931,F,0.4355,6
932,I,0.4195,7
933,I,0.478,7
934,I,0.4445,8
935,I,0.47,7
936,I,0.447,7
937,I,0.5325,7
938,I,0.497,6
939,I,0.4635,7
940,I,0.449,7
941,I,0.467,7
942,I,0.534,7
943,I,0.4415,7
944,F,0.482,6
945,M,0.612,8
946,F,0.582,8
947,M,0.537,9
948,F,0.5915,6
949,M,0.6765,6
950,M,0.64,6
951,M,0.439,8
952,M,0.6015,7
953,F,0.4785,7
954,M,0.649,8
955,M,0.6335,8
956,M,0.61,7
957,M,0.6595,6
958,I,0.56,8
959,M,0.6425,7
960,M,0.6725,7
961,F,0.674,9
962,I,0.685,8
963,M,0.642,9
964,I,0.601,8
965,M,0.769,8
966,I,0.5785,7
967,I,0.769,7
968,M,0.7035,8
969,M,0.796,8
970,F,0.834,8
971,M,0.7125,7
972,F,0.724,8
973,M,0.7325,11
974,F,0.7585,8
975,F,0.8495,8
976,M,0.6515,7
977,F,0.8215,8
978,M,0.7165,8
979,M,0.874,8
980,F,0.9905,9
981,F,0.8105,9
982,F,0.967,9
983,F,0.6975,8
984,M,1.195,10
985,M,1.1935,10
986,F,1.107,8
987,M,1.0635,8
988,M,0.9035,7
989,M,1.114,9
990,F,1.103,9
991,F,1.1155,7
992,F,1.0515,8
993,M,1.012,10
994,F,1.137,8
995,M,1.1335,9
996,M,1.136,11
997,M,1.206,8
998,F,1.063,8
999,F,1.121,11
1000,F,1.114,11
1001,M,1.213,9
1002,F,1.0045,9
1003,M,1.044,9
1004,F,1.1345,9
1005,M,1.161,9
1006,M,1.2315,11
1007,M,1.1625,11
1008,M,1.168,10
1009,F,1.2525,8
1010,F,1.3315,11
1011,F,1.3525,10
1012,M,1.3325,10
1013,F,1.1435,10
1014,F,1.288,9
1015,F,1.38,9
1016,M,1.278,8
1017,F,1.3075,11
1018,M,1.1785,8
1019,M,1.375,11
1020,M,1.4065,10
1021,M,1.4025,10
1022,F,1.5175,11
1023,F,1.394,10
1024,F,1.2205,10
1025,M,1.636,11
1026,M,1.561,8
1027,F,1.4325,8
1028,M,1.3385,11
1029,F,1.2465,10
1030,F,1.212,10
1031,M,1.304,9
1032,M,1.6785,11
1033,M,1.622,10
1034,F,1.494,9
1035,F,1.6525,10
1036,F,1.528,11
1037,M,1.5905,9
1038,M,1.6275,10
1039,F,1.3695,6
1040,M,1.6085,11
1041,F,1.587,10
1042,F,1.8375,12
1043,M,1.607,12
1044,M,1.7005,8
1045,M,1.872,10
1046,F,1.8385,10
1047,F,1.685,12
1048,M,2.198,11
1049,M,1.9525,10
1050,F,1.56,11
1051,F,2.555,11
1052,M,2.302,12
1053,I,0.029,4
1054,I,0.0375,3
1055,I,0.0325,4
1056,I,0.0435,4
1057,I,0.059,4
1058,I,0.071,4
1059,I,0.0685,5
1060,I,0.084,7
1061,I,0.106,6
1062,I,0.1075,5
1063,I,0.096,5
1064,I,0.1255,6
1065,I,0.151,6
1066,I,0.1415,6
1067,I,0.2015,5
1068,I,0.221,6
1069,I,0.2345,6
1070,I,0.2325,6
1071,I,0.2485,7
1072,I,0.348,6
1073,I,0.32,7
1074,I,0.282,7
1075,I,0.3245,6
1076,I,0.316,7
1077,I,0.3625,7
1078,I,0.279,6
1079,I,0.3685,7
1080,M,0.397,7
1081,I,0.413,6
1082,I,0.418,7
1083,I,0.3705,7
1084,I,0.409,7
1085,I,0.434,7
1086,I,0.411,8
1087,I,0.462,8
1088,I,0.4925,6
1089,I,0.3715,7
